game,id,category,playerno,difficulty,avgplaytime,age
Bohnanza,11,Negotation,"2 to 7",1.5,"45 minutes",13+
"Cosmic Encounter",15,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
"Twilight Imperium",24,Strategy,"3 to 6",5,"240 minutes",14+
"Arkham Horror",34,Co-op,"1 to 8",3.5,"120-240 minutes",12+
"Can't Stop",41,"Press Your Luck","2 to 4",1,"30 minutes",9+
"Liar's Dice",45,Bluffing,"2 to 6",1.5,"15-30 minutes",8+
"Lost Cities",50,"Set Collection","2 to 4",2,"30-60 minutes",8+
"Apples to Apples",74,Party/Humor/Cards,"4 to 10",1,"30 minutes",12+
"Fortress America",99,Wargames,"2 to 4",2.5,"150 minutes",13+
"Peaceful Resistance",107,"Abstract Strategy","2 to 3",1.5,"30 minutes",7+
Guillotine,116,Family/Card/Humor,"2 to 5",1,"30 minutes",12+
Pit,140,Party/Cards,"3 to 8",1,"30-90 minutes",7+
"Wildlife Adventure",156,"Route Building","2 to 6",1,"60 minutes",10+
Balderdash,163,Classic/Party/Bluffing,"2 to 6",1.5,"60 minutes",12+
Chess,171,Strategy,2,4,"60 minutes",6+
"For Sale",172,Auction/Bidding,"3 to 6",1.5,"20 minutes",8+
Risk,181,Wargame,"2 to 6",2,"120 minutes",10+
Fluxx,258,"Hand Management","2 to 6",1.5,"5 to 30 minutes",8+
Scrabble,320,Word,"2 to 4",2,"60 minutes",10+
"Advance to Boardwalk",334,"Children's/Area Control","2 to 4",1.5,"60 minutes",8+
"Bargain Hunter",338,Strategy,"3 to4",2,"60 minutes",10+
"Wildlife Safari",398,"Hand Management","2 to 5",1.5,"20-30 minutes",7+
"6 nimmt!",432,Cards,"2 to 10",1,"45 minutes",8+
Citadels,478,"Strategy/City Building","2 to 8",2,"20-60 minutes",10+
Crokinole,521,Action/Dexterity/Flicking,"2 or 4",1.5,"30 minutes",8+
"Honor of the Samurai",607,Strategy/Cards,"3 to 6",2,"90 minutes",10+
"Rubik's Race",614,Strategy/Abstract,2,1,"10 minutes",8+
Quoridor,624,"Abstract Straegy","2 or 4",2,"15 minutes",8+
Elixir,633,Auction/Bidding,"3 to 8",1.5,"60 minutes",10+
Quarto,681,"Abstract Strategy",2,2,"20 minutes",6+
"Oregon Trail",721,Cards,"1 to 4",1.5,"15-30 minutes",8+
"Battle Line",760,"Deduction/Hand Management",2,2,"30 minutes",12+
Rummikub,811,Cards/Numbers,"2 to 4",2,"60 minutes",8+
Carcassonne,822,Strategy,"2 to 5",3,"30-90 minutes",8+
Cartagena,826,Family/Racing,"2 to 5",1.5,"45 minutes",8+
Cranium,891,Party/Trivia/Word,"4 to 16 (Best 8)",1.5,"60 minutes",13+
Twixt,949,Strategy,"2 or 4",2,"30 minutes",12+
Evolution,1080,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
Nyet!,1107,"Hand Management","2 to 5",2,"30 minutes",10+
Taboo,1111,Party/Word,"4 to 10",1,"20 minutes",12+
"Car Wars: The Card Game",1126,Thematic/Cards,"2 to 6",1.5,"60 minutes",10+
Perquackey,1161,Dice/Word,"2 to 6",2,"20 minutes",8+
"Phase 10",1258,Cards,"2 to 6",1.5,"45 minutes",8+
Medina,1261,Abstract/Strategy,"3 to 4",3,"60 minutes",10+
Clue,1294,Bluffing/Deduction,"3 to 6",1,"45 minutes",8+
"Cry Havoc",1323,"Strategy/War Game","2 to 4",3.5,"90-120 minutes",10+
Monopoly,1406,Classic,"2 to 8",2,"180 minutes",8+
Trouble,1410,Children,"2 to 4",1,"45 minutes",4+
"Dealer's Choice",1434,Auction/Bidding,"3 to 5",1.5,"45 minutes",8+
UpWords,1515,Word,"2 to 4",2,"90 minutes",10+
Coup,1653,Party/Bluffing/Memory,"2 to 6",1.5,"15 minutes",9+
Jumanji,1751,Family,"2 to 4",1.5,"45 minutes",8+
Stratego,1917,Classic,2,2,"45 minutes",8+
Tribond,1962,Party,"2 to 15",1.5,"60 minutes",12+
Checkers,2083,Classic,2,2,"30 minutes",6+
Coup,2088,Party/Bluffing/Memory,"2 to 6",1.5,"15 minutes",9+
Mahjong,2093,Abstract,"3 to 4",2.5,"120 minutes",8+
UNO,2223,Classic/Cards,"2 to 10",1,"30 minutes",6+
Yahtzee,2243,Chance,"2 to 10",2,"30 minutes",6+
Aggravation,2272,Roll/Spin/Move,"4 to 6",1,"45 minutes",6+
Pictionary,2281,Classic/Party,"3 to 16",1.5,"90 minutes",12+
"Scrabble Junior",2318,Word,"2 to 4",1,"30 minutes",7+
Lotus,2348,"Cards/Area Control","2 to 4",1.5,"30 minutes",8+
Sequence,2375,Card,"2 to 6",1,"15-120 minutes",7+
Guesstures,2379,Party,4+,1,"10 minutes",12+
Scattergories,2381,Trivia,"2 to 6",1.5,"30 minutes",12+
"Chinese Checkers",2386,Classic,"2 to 6",1.5,"30 minutes",7+
Mastermind,2392,Classic,2,1.5,"20 minutes",8+
Dominoes,2394,Strategy,1+,1,-,-
Backgammon,2397,Classic,2,1.5,"30 minutes",8+
Cribbage,2398,Card,"2 to 4",2,"30 minutes",10+
Battleship,2425,Strategy,2,1.5,"30 minutes",8+
"Bargain Hunter",2431,Strategy,"3 to4",2,"60 minutes",10+
Jenga,2452,Classic/Party,"1 to 8",1,"20 minutes",6+
Blokus,2453,Abstract/Strategy,"2 to 4",1,"20 minutes",5+
Elixir,2546,Auction/Bidding,"3 to 8",1.5,"60 minutes",10+
"Power Grid",2651,Strategy/Auction,"2 to 6",3.5,"120 minutes",12+
Hive,2655,Abstract,2,2.5,"20 minutes",9+
"Battlestar Galactica",2688,Bluffing,"3 to 6",3,"120-240 minutes",10+
"The Battle of Five Armies",2775,Thematic/Wargames,2,3.5,"90-240 minutes",13+
"Car Wars",2795,Wargames,"2 to 8",3,"45 minutes",10+
"Uno Stacko",2821,Social,"2 to 10",1,"20 minutes",8+
"Loaded Questions",2838,Party,"3 to 6",1.5,"45 minutes",13+
"The Game of Life",2921,Family/Chance,"2 to 6",1,"60 minutes",9+
"The Simpsons Trivia Game",2980,Trivia,"2 to 5",1.5,"60 minutes",8+
"Puerto Rico",3076,"City Building","2 to 5",3.5,"90-150 minutes",12+
Gettysburg,3099,Strategy,2,3,"40-240 minutes",12+
Farkle,3181,Dice,"2 to 8",1,"30 minutes",8+
Quixo,3190,"Abstract Strategy",2,2,"20 minutes",6+
"Jack the Ripper",3241,Deduction,2,2.5,"120 minutes",12+
"20 Questions",3377,Party,"2 to 7",1.5,"30 minutes",8+
Topple,3702,Dexterity,"2 to 4",1,"20 minutes",
Slamwich,3804,Party/Dexterity,"2 to 6",1,"10 minutes",6+
Bang!,3955,Bluffing,"4 to 7",1.5,"20-40 minutes",8+
"Fact or Crap",3990,Trivia,"3 to 8",1,"30 minutes",12+
"Electronic Battleship",4122,Strategy,2,1,"30 minutes",10+
Topple,4140,Dexterity,"2 to 4",1,"20 minutes",
Chameleon,4187,Party,"3 to 8",1,"5 minutes",14+
"Uno Wild Tiles",4578,Strategy,"2 to 4",1,"10 minutes",8+
Moods,4659,Party,"3 to 8",1,"20 minutes",18+
Outburst!,4862,Classic/Party/Trivia,"4 to 20",1,"60 minutes",18+
"1313 Dead End Drive",4953,Children/Bluffing/Deduction,"2 to 4",1.5,"45 minutes",9+
Push,5079,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Jack Straws",5253,Children/Dexterity,"2 to 5",1,"10 minutes",6+
Curses!,5298,Party/Acting,"3 to 6",1,"25 minutes",12+
Hangman,5314,Deduction/Word,2,1,"15 minutes",8+
"New England",5406,"Territory Building","3 to 4",2.5,"90 minutes",12+
"Snakes and Ladders",5432,Children,"2 to 4",1,"15 minutes",4+
"Dread Pirate",5457,"Roll and Spin","2 to 4",1.5,"60 minutes",8+
"UNO Rummy-Up",5522,Abstract,"2 to 4",1.5,"60 minutes",7+
Perfection,5588,Children/Memory,"No limit",1,"6 minutes",5+
Domaine,5737,"Area Control","2 to 4",2.5,"60 minutes",12+
Coloretto,5782,"Card Drafting","2 to 5",1.5,"30 minutes",8+
"Punch Line",5852,Word,"2 to 4",2,"30 minutes",10+
Alhambra,6249,"City Building","2 to 6",2,"45-60 minutes",8+
"Cranium Cadoo",6420,Children/Creative,"2 to 16",1,"45 minutes",7+
"Pretty Pretty Princess",6549,Classic,"2 to 4",1,"20 minutes",5+
"Battlestar Galactica",6768,Bluffing,"3 to 6",3,"120-240 minutes",10+
Push,7046,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Rush n' Crush",7482,Thematic/Family,"3 to 6",2,"60 minutes",12+
"Jungle Speed",8098,Dexterity/Party,"2 to 10",1,"15 minutes",8+
Konane,8122,Strategy/Checkers,2,2,"20 minutes",6+
"San Juan",8217,"City Building","2 to 4",2.5,"45-60 minutes",10+
"Triple Yahtzee",8944,Dice,"2 to 4",1,"30 minutes",6+
"Pass the Buck",9006,Bluffing,"3 to 5",1,"30 - 45 minutes",14+
"Ticket to Ride",9209,Family,"2 to 5",2,"30-60 minutes",8+
Saboteur,9220,Party/Bluffing,"3 to 10",1.5,"30 minutes",8+
Ingenious,9674,Abstract,"1 to 4",2,"45 minutes",10+
"Beer Money",9787,Cards/Fighting,"2 to 4",2,"10 minutes",12+
"Shut the Box",9851,Children/Dice,"2 to 4",1,"30 minutes",8+
Santorini,9963,"Abstract Strategy","2 to 4",2,"20 minutes",8+
"King Kong",10306,"Roll, Spin, Move","2 to 4",1,"30 minutes",5+
"Risk: Godstorm",10383,Wargame,"2 to 5",2.5,"120 minutes",10+
Ascension,10403,Deckbuilding,"1 to 4",2,"30 minutes",13+
"Betrayal at House on the Hill",10547,Co-op/Horror,"3 to 6",2.5,"60 minutes",12+
"Memoir '44",10630,Wargames,2,2.5,"30-60 minutes",8+
Guillotine,11629,Family/Card/Humor,"2 to 5",1,"30 minutes",12+
"Candamir: The First Settlers",12004,"Set Collection","2 to 4",2.5,"60 minutes",12+
"Twilight Struggle",12333,Wargames/Strategy,2,3.5,"180 minutes",13+
Gloom,12692,Storytelling/Party,"2 to 4",1.5,"60 minutes",13+
"Six Degrees of Kevin Bacon",12741,Trivia/Party,"2 to 4",1,"30 minutes",12+
Ys,12761,Strategy/Bluffing,"3 to 4",3,"60-90 minutes",12+
"The Downfall of Pompeii",13004,"Tile Placement","2 to 4",2,"45 minutes",10+
"Oltre Mare",13551,Strategy,"2 to 5",2.5,"60 minutes",12+
Mascarade,13592,Party,"2 to 13",1.5,"30 minutes",10+
Chameleon,13711,Party,"3 to 8",1,"5 minutes",14+
"Fairy Tale",13823,"Card Drafting","2 to 6",2,"30 minutes",10+
"Blood Feud in New York",14258,"Miniatures/Territory Building","2 to 6",2.5,"180 minutes",12+
"Sword & Skull",14992,Adventure,"2 to 5",1.5,"60 minutes",10+
"Ticket to Ride: Europe",14996,Family,"2 to 5",2,"30-60 minutes",8+
"Shadows Over Camelot",15062,Thematic,"3 to 7",2.5,"60 to 80",10+
Coloretto,15159,"Card Drafting","2 to 5",1.5,"30 minutes",8+
Manila,15817,Chance/Strategy,"3 to 5",3,"60 minutes",10+
"Arkham Horror",15987,Co-op,"1 to 8",3.5,"120-240 minutes",12+
"Carcassonne: The Discovery",16216,"Tile Placement","2 to 5",2,"30 minutes",8+
"The Battle of Five Armies",16538,Thematic/Wargames,2,3.5,"90-240 minutes",13+
Evolution,16746,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
"Angelina Ballerina's Dancing Game",16959,Children's,"2 to 4",1,"15 minutes",3+
Tsuro,16992,Family/Abstract,"2 to 8",1.5,"15 minutes",8+
Crosstalk,17528,Party/Deduction,"4 to 8",1.5,"30 minutes",10+`
Chameleon,17576,Party,"3 to 8",1,"5 minutes",14+
Firefly,18155,"Thematic Fantasy","1 to 4",3,"120-240 minutes",13+
"Elasund: The First City",19526,Strategy,"2 to 4",2.5,"60-90 minutes",10+
Pentago,19841,"Abstract Strategy",2,2,"3 to 30 minutes",6+
"Wits & Wagers",20100,Trivia,"3 to 7",1,"25 minutes",10+
Prosperity,20166,"Card Drafting/Tile Placement","2 to 4",2.5,"60 minutes",13+
"Lords of Vegas",20437,"City Building","2 to 4",2.5,"60 minutes",12+
"Rory's Story Cubes",20545,Dice/Co-op/Storytelling,"1 to 12",1,"20 minutes",8+
"The Simpsons: Homer's Trivia Game",21356,Trivia,"2 to 5",1.5,"60 minutes",8+
"Mr. Jack",21763,Deduction,2,2,"30 minutes",9+
"Leonardo da Vinci",21920,"Area Control","2 to 5",3,"90 minutes",12+
Parade,22239,"Cards/Set Collection","2 to 6",1.5,"20-30 minutes",12+
"Tide of Iron",22825,Wargames,"2 to 4",3.5,"120 minutes",12+
Push,23033,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
Evolution,24104,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
"Through the Ages: A Story of Civilization",25613,"City Building/Card Drafting","2 to 4",4,"240 minutes",12+
Qwirkle,25669,Abstract,"2 to 4",1.5,"45 minutes",6+
"Cry Havoc",27092,"Strategy/War Game","2 to 4",3.5,"90-120 minutes",10+
"Battle Line",27135,"Deduction/Hand Management",2,2,"30 minutes",12+
Kingsburg,27162,"City Building","2 to 5",2.5,"90 minutes",13+
"Portobello Market",27356,"Strategy/Area Control","2 to 4",2,"35 minutes",8+
Guillotine,27373,Family/Card/Humor,"2 to 5",1,"30 minutes",12+
Chameleon,27482,Party,"3 to 8",1,"5 minutes",14+
"Island Fortress",27574,Auction/Bidding,"2 to 4",3,"90 minutes",13+
Zooloretto,27588,"Tile Placement","2 to 5",2,"45 minutes",8+
"Race for the Galaxy",28143,Strategy,"2 to 4",3,"30-60 minutes",12+
"Cutthroat Caverns",28259,"Hand Management","3 to 6",2,"90 minutes",12+
Marrakech,29223,"Tile Placement/Area Control","2 to 4",1.5,"30 minutes",6+
"World of Warcraft: The Adventure Game",29294,Thematic,"2 to 4",2.5,"90 minutes",12+
Pandemic,30549,Co-Op/Strategy,"2 to 4",3,"60 minutes",13+
Agricola,31260,"Card Drafting","1 to 5",3.5,"30-150 minutes",12+
"Galaxy Trucker",31481,"Tile Placement/Humor","2 to 4",2.5,"60 minutes",10+
"Ticket to Ride: Nordic Countries",31627,"Card Drafting","2 to 3",2,"30-60 minutes",8+
Bang!,32806,Bluffing,"4 to 7",1.5,"20-40 minutes",8+
"Say Anything",33604,Party,"3 to 8",1,"30 minutes",13+
Prosperity,33610,"Card Drafting/Tile Placement","2 to 4",2.5,"60 minutes",13+
Biblios,34219,"Card Drafting","2 to 4",1.5,"30 minutes",10+
"Battlestar Galactica",36006,Bluffing,"3 to 6",3,"120-240 minutes",10+
Gettysburg,36053,Strategy,2,3,"40-240 minutes",12+
Dominion,36218,Card/Strategy,"2 to 4",2.5,"30 minutes",13+
"Bump in the Night",36690,Miniatures/Horror,"2 to 6",2.5,"60 minutes",12+
Imhotep,36919,"Area Control","2 to 4",2,"40 minutes",10+
Chameleon,36945,Party,"3 to 8",1,"5 minutes",14+
"Battlestar Galactica",37111,Bluffing,"3 to 6",3,"120-240 minutes",10+
"Incan Gold",37759,Bluffing,"3 to 8",1,"20 minutes",8+
"Formula D",37904,"Dice Rolling","2 to 10",2,"60 minutes",8+
"Pass the Buck",38152,Bluffing,"3 to 5",1,"30 - 45 minutes",14+
Sidibaba,38402,Partnerships/Voting,"3 to 7",2,"45 minutes",14+
Giants,38862,"Strategy/Bidding/Worker Placement","3 to 5",3,"90 minutes",10+
"Click Clack Lumberjack",39206,Abstract/Party,"2 to 7",1.5,"10 minutes",5+
"Cosmic Encounter",39463,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
Dixit,39856,Party/Cards/Humor,"3 to 6",1.5,"30 minutes",6+
"Flapjacks and Sasquatches",39862,Cards,"2 to 8",1.5,"20 minutes",8+
"Cosmic Encounter",40529,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
"Cosmic Encounter",40531,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
"The Resistance",41114,Bluffing/Party,"5 to 10",2,"30 minutes",13+
Martinique,42244,Bluffing/Deduction,2,2,"30 minutes",10+
"Castle Panic",43443,"Co-Op/Tower Defense","1 to 6",2,"30 minutes",10+
Friday,43570,Cards/Solo,1,2,"25 minutes",10+
Telestrations,46213,Party/Humor,"4 to 6",1,"30 minutes",12+
"High Noon Saloon",46362,"Area Movement","2 to 6",1.5,"45 minutes",10+
"Rush n' Crush",46782,Thematic/Family,"3 to 6",2,"60 minutes",12+
"Stop Thief!",49301,Cooperative,"2 to 4",1.5,"30-60 minutes",10+
"Cards Against Humanity",50381,Party/Adult,"4 to 30",1,"30 minutes",18+
Thunderstone,53953,"Card Drafting","1 to 5",2.5,"60 minutes",12+
Jaipur,54043,"Card Drafting",2,1.5,"30 minutes",12+
"Battle Sheep",54137,Abstract,"2 to 4",1.5,"15 minutes",7+
Parade,56692,"Cards/Set Collection","2 to 6",1.5,"20-30 minutes",12+
Evolution,57977,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
"Bunny Bunny Moose Moose",59149,Party/Dexterity,"3 to 6",1.5,"20 minutes",9+
Runewars,59294,Thematic/Strategy,"2 to 4",3.5,"180 minutes",14+
"Letters from Whitechapel",59959,Thematic/Strategy,"2 to 6",2.5,"120 minutes",13+
"Passing the Bar",61811,Lawyers,"2 to 4",5,"60 minutes",21+
Funglish,62709,Party,"3 to 12",1,"25 minutes",12+
Dominion,64777,Card/Strategy,"2 to 4",2.5,"30 minutes",13+
"Formula D",64896,"Dice Rolling","2 to 10",2,"60 minutes",8+
"Road Kill Rally",65225,"Dice Rolling","3 to 6",2,"60-120 minutes",13+
"Forbidden Island",65244,Co-op/Strategy,"2 to 4",1.5,"30 minutes",10+
Gettysburg,65825,Strategy,2,3,"40-240 minutes",12+
"The Rivals for Catan",66056,Card/Strategy,2,2.5,"45 minutes",10+
Push,66511,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Battles of Westeros",67492,Wargame,2,3,"60-120 minutes",12+
"7 Wonders",68448,"Strategy/City Building","2 to 7",2.5,"30 minutes",10+
Push,68787,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"King of Tokyo",70323,Dice/Family,"2 to 6",1.5,"30 minutes",8+
Takenoko,70919,"Territory Building/Tile Placement","2 to 4",2,"45 minutes",8+
Onirim,71836,"Set Collection","1 to 2",1.5,"15 minutes",8+
"Mr. Jack Pocket",72287,Strategy,2,2,"15 minutes",14+
"Those Pesky Humans!",76442,"Tile Placement","2 to 4",2,"90 minutes",13+
"Sid Meier's Civilization: The Board Game",77130,Strategy,"2 to 4",4,"120-240 minutes",13+
"Hex Hex XL",79067,Cards,"3 to 6",2,"20 minutes",14+
Suburbia,81185,"City Building/Card Drafting","1 to 4",3,"90 minutes",8+
Konexi,82948,Action,"2 to 4",1.5,"20 minutes",10+
Felinia,84869,"Territory Building","2 to 4",2.5,"60 minutes",10+
Nightfall,88408,"Card Drafting","2 to 5",2.5,"45 minutes",12+
"Saturday Night Live: The Game",89071,Party,"2 to 8",1,"20-30 minutes",12+
"ImagiNiff: 10th Anniversary Edition",89478,Party/Bluffing,"3 to 8",1,"35 minutes",12+
Push,89578,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Rhino Hero",91514,Dexterity,"2 to 5",1,"5-15 minutes",5+
Spontuneous,94684,Party,"4 to 10",1,"30 minutes",8+
Tem-Purr-A,95386,Social,"3 to 7",1,"30 minutes",8+
